unit_id,hier_cell,ref_name,loc,bel,site,tile,grid_x,grid_y,stage_id,module_role,data_role,ecc_codeword_rule,ecc_symbol_rule,is_used,is_shared
0,u/s1/GND,GND,,,,,,,,,,,,0,0
1,u/s1/VCC,VCC,,,,,,,,,,,,0,0
2,u/s1/app_i_reg[0][0],FDRE,SLICE_X99Y86,SLICEL.AFF,SLICE_X99Y86,CLBLM_L_X66Y86,271,172,,,,,,1,0
3,u/s1/app_i_reg[0][10],FDRE,SLICE_X93Y88,SLICEL.AFF,SLICE_X93Y88,CLBLM_L_X62Y88,255,176,,,,,,1,0
4,u/s1/app_i_reg[0][11],FDRE,SLICE_X93Y89,SLICEL.AFF,SLICE_X93Y89,CLBLM_L_X62Y89,255,178,,,,,,1,0
5,u/s1/app_i_reg[0][12],FDRE,SLICE_X96Y84,SLICEM.AFF,SLICE_X96Y84,CLBLM_L_X64Y84,261,168,,,,,,1,0
6,u/s1/app_i_reg[0][13],FDRE,SLICE_X100Y89,SLICEM.AFF,SLICE_X100Y89,CLBLM_R_X67Y89,273,178,,,,,,1,0
7,u/s1/app_i_reg[0][14],FDRE,SLICE_X99Y90,SLICEL.AFF,SLICE_X99Y90,CLBLM_L_X66Y90,271,180,,,,,,1,0
8,u/s1/app_i_reg[0][15],FDRE,SLICE_X96Y91,SLICEM.BFF,SLICE_X96Y91,CLBLM_L_X64Y91,261,182,,,,,,1,0
9,u/s1/app_i_reg[0][16],FDRE,SLICE_X94Y92,SLICEL.BFF,SLICE_X94Y92,CLBLL_R_X63Y92,257,184,,,,,,1,0
10,u/s1/app_i_reg[0][17],FDRE,SLICE_X96Y93,SLICEM.AFF,SLICE_X96Y93,CLBLM_L_X64Y93,261,186,,,,,,1,0
11,u/s1/app_i_reg[0][18],FDRE,SLICE_X96Y94,SLICEM.AFF,SLICE_X96Y94,CLBLM_L_X64Y94,261,188,,,,,,1,0
12,u/s1/app_i_reg[0][19],FDRE,SLICE_X96Y94,SLICEM.BFF,SLICE_X96Y94,CLBLM_L_X64Y94,261,188,,,,,,1,0
13,u/s1/app_i_reg[0][1],FDRE,SLICE_X93Y87,SLICEL.AFF,SLICE_X93Y87,CLBLM_L_X62Y87,255,174,,,,,,1,0
14,u/s1/app_i_reg[0][20],FDRE,SLICE_X97Y97,SLICEL.AFF,SLICE_X97Y97,CLBLM_L_X64Y97,263,194,,,,,,1,0
