stage,symbol,component,bit,category
1,0,real,0,silent_unbounded
1,0,real,1,silent_unbounded
1,0,imag,0,silent_unbounded
1,0,imag,1,silent_unbounded
2,0,real,0,silent_unbounded
2,0,real,1,silent_unbounded
2,0,imag,0,silent_unbounded
2,0,imag,1,silent_unbounded
3,0,real,0,silent_unbounded
3,0,real,1,silent_unbounded
3,0,imag,0,silent_unbounded
3,0,imag,1,silent_unbounded
4,0,real,0,silent_unbounded
4,0,real,1,silent_unbounded
4,0,imag,0,silent_unbounded
4,0,imag,1,silent_unbounded
5,0,real,0,silent_unbounded
5,0,real,1,silent_unbounded
5,0,imag,0,silent_unbounded
5,0,imag,1,silent_unbounded
6,0,real,0,silent_unbounded
6,0,real,1,silent_unbounded
6,0,imag,0,silent_unbounded
6,0,imag,1,silent_unbounded
7,0,real,0,silent_unbounded
7,0,real,1,silent_unbounded
7,0,imag,0,silent_unbounded
7,0,imag,1,silent_unbounded
10,0,real,0,silent_unbounded
10,0,real,1,silent_unbounded
10,0,imag,0,silent_unbounded
10,0,imag,1,silent_unbounded
1,1,real,0,silent_unbounded
1,1,real,1,silent_unbounded
1,1,imag,0,silent_unbounded
1,1,imag,1,silent_unbounded
2,1,real,0,silent_unbounded
2,1,real,1,silent_unbounded
2,1,imag,0,silent_unbounded
2,1,imag,1,silent_unbounded
3,1,real,0,silent_unbounded
3,1,real,1,silent_unbounded
3,1,imag,0,silent_unbounded
3,1,imag,1,silent_unbounded
4,1,real,0,silent_unbounded
4,1,real,1,silent_unbounded
4,1,imag,0,silent_unbounded
4,1,imag,1,silent_unbounded
5,1,real,0,silent_unbounded
5,1,real,1,silent_unbounded
5,1,imag,0,silent_unbounded
5,1,imag,1,silent_unbounded
6,1,real,0,silent_unbounded
6,1,real,1,silent_unbounded
6,1,imag,0,silent_unbounded
6,1,imag,1,silent_unbounded
7,1,real,0,silent_unbounded
7,1,real,1,silent_unbounded
7,1,imag,0,silent_unbounded
7,1,imag,1,silent_unbounded
10,1,real,0,silent_unbounded
10,1,real,1,silent_unbounded
10,1,imag,0,silent_unbounded
10,1,imag,1,silent_unbounded
1,2,real,0,silent_unbounded
1,2,real,1,silent_unbounded
1,2,imag,0,silent_unbounded
1,2,imag,1,silent_unbounded
2,2,real,0,silent_unbounded
2,2,real,1,silent_unbounded
2,2,imag,0,silent_unbounded
2,2,imag,1,silent_unbounded
3,2,real,0,silent_unbounded
3,2,real,1,silent_unbounded
3,2,imag,0,silent_unbounded
3,2,imag,1,silent_unbounded
4,2,real,0,silent_unbounded
