trial,sites(stage:symbol:component:bit;...)
0,3:3:0:24;7:1:0:26
1,6:0:0:3;1:2:0:25
2,5:4:0:28;4:5:0:14
3,2:3:1:21;10:1:1:7
4,3:0:1:1;7:2:1:4
5,6:4:1:31;1:5:1:8
6,5:3:0:11;4:1:0:18
7,2:0:0:12;10:2:0:5
8,3:4:0:0;7:5:0:17
9,6:3:1:16;1:1:1:19
10,5:0:1:10;4:2:1:6
11,2:4:1:30;10:5:1:20
12,3:3:0:23;7:1:0:13
13,6:0:0:32;1:2:0:22
14,5:4:0:9;4:5:0:2
15,2:3:1:15;10:1:1:29
16,3:0:1:27;7:2:1:34
17,6:4:1:33;1:5:1:24
18,5:3:0:26;4:1:0:3
19,2:0:0:25;10:2:0:28
20,3:4:0:14;7:5:0:21
21,6:3:1:7;1:1:1:1
22,5:0:1:4;4:2:1:31
23,2:4:1:8;10:5:1:11
24,3:3:0:18;7:1:0:12
25,6:0:0:5;1:2:0:0
26,5:4:0:17;4:5:0:16
27,2:3:1:19;10:1:1:10
28,3:0:1:6;7:2:1:30
29,6:4:1:20;1:5:1:23
30,5:3:0:13;4:1:0:32
31,2:0:0:22;10:2:0:9
32,3:4:0:2;7:5:0:15
33,6:3:1:29;1:1:1:27
34,5:0:1:34;4:2:1:33
35,2:4:1:24;10:5:1:26
36,3:3:0:3;7:1:0:25
37,6:0:0:28;1:2:0:14
38,5:4:0:21;4:5:0:7
39,2:3:1:1;10:1:1:4
40,3:0:1:31;7:2:1:8
41,6:4:1:11;1:5:1:18
42,5:3:0:12;4:1:0:5
43,2:0:0:0;10:2:0:17
44,3:4:0:16;7:5:0:19
45,6:3:1:10;1:1:1:6
46,5:0:1:30;4:2:1:20
47,2:4:1:23;10:5:1:13
48,3:3:0:32;7:1:0:22
49,6:0:0:9;1:2:0:2
50,5:4:0:15;4:5:0:29
51,2:3:1:27;10:1:1:34
52,3:0:1:33;7:2:1:24
53,6:4:1:26;1:5:1:3
54,5:3:0:25;4:1:0:28
55,2:0:0:14;10:2:0:21
56,3:4:0:7;7:5:0:1
57,6:3:1:4;1:1:1:31
58,5:0:1:8;4:2:1:11
59,2:4:1:18;10:5:1:12
60,3:3:0:5;7:1:0:0
61,6:0:0:17;1:2:0:16
62,5:4:0:19;4:5:0:10
63,2:3:1:6;10:1:1:30
64,3:0:1:20;7:2:1:23
65,6:4:1:13;1:5:1:32
66,5:3:0:22;4:1:0:9
67,2:0:0:2;10:2:0:15
68,3:4:0:29;7:5:0:27
69,6:3:1:34;1:1:1:33
70,5:0:1:24;4:2:1:26
71,2:4:1:3;10:5:1:25
72,3:3:0:28;7:1:0:14
73,6:0:0:21;1:2:0:7
74,5:4:0:1;4:5:0:4
75,2:3:1:31;10:1:1:8
76,3:0:1:11;7:2:1:18
77,6:4:1:12;1:5:1:5
78,5:3:0:0;4:1:0:17
79,2:0:0:16;10:2:0:19
80,3:4:0:10;7:5:0:6
81,6:3:1:30;1:1:1:20
82,5:0:1:23;4:2:1:13
83,2:4:1:32;10:5:1:22
84,3:3:0:9;7:1:0:2
85,6:0:0:15;1:2:0:29
86,5:4:0:27;4:5:0:34
87,2:3:1:33;10:1:1:24
88,3:0:1:26;7:2:1:3
89,6:4:1:25;1:5:1:28
90,5:3:0:14;4:1:0:21
91,2:0:0:7;10:2:0:1
92,3:4:0:4;7:5:0:31
93,6:3:1:8;1:1:1:11
94,5:0:1:18;4:2:1:12
95,2:4:1:5;10:5:1:0
96,3:3:0:17;7:1:0:16
97,6:0:0:19;1:2:0:10
98,5:4:0:6;4:5:0:30
99,2:3:1:20;10:1:1:23
100,3:0:1:13;7:2:1:32
101,6:4:1:22;1:5:1:9
102,5:3:0:2;4:1:0:15
103,2:0:0:29;10:2:0:27
104,3:4:0:34;7:5:0:33
105,6:3:1:24;1:1:1:26
106,5:0:1:3;4:2:1:25
107,2:4:1:28;10:5:1:14
108,3:3:0:21;7:1:0:7
109,6:0:0:1;1:2:0:4
110,5:4:0:31;4:5:0:8
111,2:3:1:11;10:1:1:18
112,3:0:1:12;7:2:1:5
113,6:4:1:0;1:5:1:17
114,5:3:0:16;4:1:0:19
115,2:0:0:10;10:2:0:6
116,3:4:0:30;7:5:0:20
117,6:3:1:23;1:1:1:13
118,5:0:1:32;4:2:1:22
