trial,sites(stage:symbol:component:bit;...)
0,6:2:0:11;2:1:0:30
1,8:0:0:16;7:3:0:27
2,5:4:0:3;3:5:0:17
3,4:2:1:5;1:1:1:31
4,6:0:1:23;2:3:1:6
5,8:4:1:34;7:5:1:0
6,5:2:0:7;3:1:0:9
7,4:0:0:13;1:3:0:14
8,6:4:0:12;2:5:0:33
9,8:2:1:29;7:1:1:19
10,5:0:1:4;3:3:1:1
11,4:4:1:20;1:5:1:25
12,6:2:0:15;2:1:0:10
13,8:0:0:22;7:3:0:24
14,5:4:0:28;3:5:0:8
15,4:2:1:2;1:1:1:21
16,6:0:1:26;2:3:1:32
17,8:4:1:18;7:5:1:11
18,5:2:0:30;3:1:0:16
19,4:0:0:27;1:3:0:3
20,6:4:0:17;2:5:0:5
21,8:2:1:31;7:1:1:23
22,5:0:1:6;3:3:1:34
23,4:4:1:0;1:5:1:7
24,6:2:0:9;2:1:0:13
25,8:0:0:14;7:3:0:12
26,5:4:0:33;3:5:0:29
27,4:2:1:19;1:1:1:4
28,6:0:1:1;2:3:1:20
29,8:4:1:25;7:5:1:15
30,5:2:0:10;3:1:0:22
31,4:0:0:24;1:3:0:28
32,6:4:0:8;2:5:0:2
33,8:2:1:21;7:1:1:26
34,5:0:1:32;3:3:1:18
35,4:4:1:11;1:5:1:30
36,6:2:0:16;2:1:0:27
37,8:0:0:3;7:3:0:17
38,5:4:0:5;3:5:0:31
39,4:2:1:23;1:1:1:6
40,6:0:1:34;2:3:1:0
41,8:4:1:7;7:5:1:9
42,5:2:0:13;3:1:0:14
43,4:0:0:12;1:3:0:33
44,6:4:0:29;2:5:0:19
45,8:2:1:4;7:1:1:1
46,5:0:1:20;3:3:1:25
47,4:4:1:15;1:5:1:10
48,6:2:0:22;2:1:0:24
49,8:0:0:28;7:3:0:8
50,5:4:0:2;3:5:0:21
51,4:2:1:26;1:1:1:32
52,6:0:1:18;2:3:1:11
53,8:4:1:30;7:5:1:16
54,5:2:0:27;3:1:0:3
55,4:0:0:17;1:3:0:5
56,6:4:0:31;2:5:0:23
57,8:2:1:6;7:1:1:34
58,5:0:1:0;3:3:1:7
59,4:4:1:9;1:5:1:13
60,6:2:0:14;2:1:0:12
61,8:0:0:33;7:3:0:29
62,5:4:0:19;3:5:0:4
63,4:2:1:1;1:1:1:20
64,6:0:1:25;2:3:1:15
65,8:4:1:10;7:5:1:22
66,5:2:0:24;3:1:0:28
67,4:0:0:8;1:3:0:2
68,6:4:0:21;2:5:0:26
69,8:2:1:32;7:1:1:18
70,5:0:1:11;3:3:1:30
71,4:4:1:16;1:5:1:27
72,6:2:0:3;2:1:0:17
73,8:0:0:5;7:3:0:31
74,5:4:0:23;3:5:0:6
75,4:2:1:34;1:1:1:0
76,6:0:1:7;2:3:1:9
77,8:4:1:13;7:5:1:14
78,5:2:0:12;3:1:0:33
79,4:0:0:29;1:3:0:19
80,6:4:0:4;2:5:0:1
81,8:2:1:20;7:1:1:25
82,5:0:1:15;3:3:1:10
83,4:4:1:22;1:5:1:24
84,6:2:0:28;2:1:0:8
85,8:0:0:2;7:3:0:21
