trial,k,category,site_row
9,5,MISCORRECTION,10:1:1:1;7:4:1:16;1:0:1:2;3:2:0:22;6:3:0:27
20,5,MISCORRECTION,4:4:0:33;10:0:0:0;7:2:1:28;1:3:1:13;3:5:1:7
30,5,MISCORRECTION,7:2:1:1;1:3:1:16;3:5:1:2;6:1:1:22;5:4:1:27
65,5,MISCORRECTION,10:3:0:1;7:5:0:16;1:1:0:2;3:4:0:22;6:0:0:27
76,5,MISCORRECTION,4:5:1:33;10:1:1:0;7:4:1:28;1:0:1:13;3:2:0:7
121,5,MISCORRECTION,10:0:0:1;7:2:1:16;1:3:1:2;3:5:1:22;6:1:1:27
132,5,MISCORRECTION,4:2:0:33;10:3:0:0;7:5:0:28;1:1:0:13;3:4:0:7
177,5,MISCORRECTION,10:1:1:1;7:4:1:16;1:0:1:2;3:2:0:22;6:3:0:27
188,5,MISCORRECTION,4:4:0:33;10:0:0:0;7:2:1:28;1:3:1:13;3:5:1:7
198,5,MISCORRECTION,7:2:1:1;1:3:1:16;3:5:1:2;6:1:1:22;5:4:1:27
