trial,sites(stage:symbol:component:bit;...)
0,3:2:0:23;6:3:0:6;5:5:0:9;2:1:0:24;4:4:0:25
1,10:0:0:10;7:2:1:4;1:3:1:26;3:5:1:20;6:1:1:11
2,5:4:1:1;2:0:1:16;4:2:0:2;10:3:0:22;7:5:0:27
3,1:1:0:30;3:4:0:12;6:0:0:32;5:2:1:18;2:3:1:3
4,4:5:1:21;10:1:1:34;7:4:1:8;1:0:1:17;3:2:0:5
5,6:3:0:19;5:5:0:31;2:1:0:29;4:4:0:14;10:0:0:15
6,7:2:1:33;1:3:1:0;3:5:1:28;6:1:1:13;5:4:1:7
7,2:0:1:23;4:2:0:6;10:3:0:9;7:5:0:24;1:1:0:25
8,3:4:0:10;6:0:0:4;5:2:1:26;2:3:1:20;4:5:1:11
9,10:1:1:1;7:4:1:16;1:0:1:2;3:2:0:22;6:3:0:27
10,5:5:0:30;2:1:0:12;4:4:0:32;10:0:0:18;7:2:1:3
11,1:3:1:21;3:5:1:34;6:1:1:8;5:4:1:17;2:0:1:5
12,4:2:0:19;10:3:0:31;7:5:0:29;1:1:0:14;3:4:0:15
13,6:0:0:33;5:2:1:0;2:3:1:28;4:5:1:13;10:1:1:7
14,7:4:1:23;1:0:1:6;3:2:0:9;6:3:0:24;5:5:0:25
15,2:1:0:10;4:4:0:4;10:0:0:26;7:2:1:20;1:3:1:11
16,3:5:1:1;6:1:1:16;5:4:1:2;2:0:1:22;4:2:0:27
17,10:3:0:30;7:5:0:12;1:1:0:32;3:4:0:18;6:0:0:3
18,5:2:1:21;2:3:1:34;4:5:1:8;10:1:1:17;7:4:1:5
19,1:0:1:19;3:2:0:31;6:3:0:29;5:5:0:14;2:1:0:15
20,4:4:0:33;10:0:0:0;7:2:1:28;1:3:1:13;3:5:1:7
21,6:1:1:23;5:4:1:6;2:0:1:9;4:2:0:24;10:3:0:25
22,7:5:0:10;1:1:0:4;3:4:0:26;6:0:0:20;5:2:1:11
23,2:3:1:1;4:5:1:16;10:1:1:2;7:4:1:22;1:0:1:27
24,3:2:0:30;6:3:0:12;5:5:0:32;2:1:0:18;4:4:0:3
25,10:0:0:21;7:2:1:34;1:3:1:8;3:5:1:17;6:1:1:5
26,5:4:1:19;2:0:1:31;4:2:0:29;10:3:0:14;7:5:0:15
27,1:1:0:33;3:4:0:0;6:0:0:28;5:2:1:13;2:3:1:7
28,4:5:1:23;10:1:1:6;7:4:1:9;1:0:1:24;3:2:0:25
29,6:3:0:10;5:5:0:4;2:1:0:26;4:4:0:20;10:0:0:11
30,7:2:1:1;1:3:1:16;3:5:1:2;6:1:1:22;5:4:1:27
31,2:0:1:30;4:2:0:12;10:3:0:32;7:5:0:18;1:1:0:3
32,3:4:0:21;6:0:0:34;5:2:1:8;2:3:1:17;4:5:1:5
33,10:1:1:19;7:4:1:31;1:0:1:29;3:2:0:14;6:3:0:15
34,5:5:0:33;2:1:0:0;4:4:0:28;10:0:0:13;7:2:1:7
35,1:3:1:23;3:5:1:6;6:1:1:9;5:4:1:24;2:0:1:25
36,4:2:0:10;10:3:0:4;7:5:0:26;1:1:0:20;3:4:0:11
37,6:0:0:1;5:2:1:16;2:3:1:2;4:5:1:22;10:1:1:27
38,7:4:1:30;1:0:1:12;3:2:0:32;6:3:0:18;5:5:0:3
39,2:1:0:21;4:4:0:34;10:0:0:8;7:2:1:17;1:3:1:5
40,3:5:1:19;6:1:1:31;5:4:1:29;2:0:1:14;4:2:0:15
41,10:3:0:33;7:5:0:0;1:1:0:28;3:4:0:13;6:0:0:7
42,5:2:1:23;2:3:1:6;4:5:1:9;10:1:1:24;7:4:1:25
43,1:0:1:10;3:2:0:4;6:3:0:26;5:5:0:20;2:1:0:11
44,4:4:0:1;10:0:0:16;7:2:1:2;1:3:1:22;3:5:1:27
45,6:1:1:30;5:4:1:12;2:0:1:32;4:2:0:18;10:3:0:3
46,7:5:0:21;1:1:0:34;3:4:0:8;6:0:0:17;5:2:1:5
47,2:3:1:19;4:5:1:31;10:1:1:29;7:4:1:14;1:0:1:15
48,3:2:0:33;6:3:0:0;5:5:0:28;2:1:0:13;4:4:0:7
49,10:0:0:23;7:2:1:6;1:3:1:9;3:5:1:24;6:1:1:25
50,5:4:1:10;2:0:1:4;4:2:0:26;10:3:0:20;7:5:0:11
51,1:1:0:1;3:4:0:16;6:0:0:2;5:2:1:22;2:3:1:27
52,4:5:1:30;10:1:1:12;7:4:1:32;1:0:1:18;3:2:0:3
53,6:3:0:21;5:5:0:34;2:1:0:8;4:4:0:17;10:0:0:5
54,7:2:1:19;1:3:1:31;3:5:1:29;6:1:1:14;5:4:1:15
55,2:0:1:33;4:2:0:0;10:3:0:28;7:5:0:13;1:1:0:7
56,3:4:0:23;6:0:0:6;5:2:1:9;2:3:1:24;4:5:1:25
57,10:1:1:10;7:4:1:4;1:0:1:26;3:2:0:20;6:3:0:11
58,5:5:0:1;2:1:0:16;4:4:0:2;10:0:0:22;7:2:1:27
59,1:3:1:30;3:5:1:12;6:1:1:32;5:4:1:18;2:0:1:3
60,4:2:0:21;10:3:0:34;7:5:0:8;1:1:0:17;3:4:0:5
61,6:0:0:19;5:2:1:31;2:3:1:29;4:5:1:14;10:1:1:15
62,7:4:1:33;1:0:1:0;3:2:0:28;6:3:0:13;5:5:0:7
63,2:1:0:23;4:4:0:6;10:0:0:9;7:2:1:24;1:3:1:25
64,3:5:1:10;6:1:1:4;5:4:1:26;2:0:1:20;4:2:0:11
65,10:3:0:1;7:5:0:16;1:1:0:2;3:4:0:22;6:0:0:27
66,5:2:1:30;2:3:1:12;4:5:1:32;10:1:1:18;7:4:1:3
67,1:0:1:21;3:2:0:34;6:3:0:8;5:5:0:17;2:1:0:5
68,4:4:0:19;10:0:0:31;7:2:1:29;1:3:1:14;3:5:1:15
69,6:1:1:33;5:4:1:0;2:0:1:28;4:2:0:13;10:3:0:7
70,7:5:0:23;1:1:0:6;3:4:0:9;6:0:0:24;5:2:1:25
71,2:3:1:10;4:5:1:4;10:1:1:26;7:4:1:20;1:0:1:11
72,3:2:0:1;6:3:0:16;5:5:0:2;2:1:0:22;4:4:0:27
73,10:0:0:30;7:2:1:12;1:3:1:32;3:5:1:18;6:1:1:3
74,5:4:1:21;2:0:1:34;4:2:0:8;10:3:0:17;7:5:0:5
75,1:1:0:19;3:4:0:31;6:0:0:29;5:2:1:14;2:3:1:15
76,4:5:1:33;10:1:1:0;7:4:1:28;1:0:1:13;3:2:0:7
77,6:3:0:23;5:5:0:6;2:1:0:9;4:4:0:24;10:0:0:25
78,7:2:1:10;1:3:1:4;3:5:1:26;6:1:1:20;5:4:1:11
79,2:0:1:1;4:2:0:16;10:3:0:2;7:5:0:22;1:1:0:27
80,3:4:0:30;6:0:0:12;5:2:1:32;2:3:1:18;4:5:1:3
