trial,sites(stage:symbol:component:bit;...)
0,6:0:0:32;7:5:0:9;3:2:0:3;8:3:0:27;4:1:0:29
1,1:4:0:0;2:0:1:12;5:5:1:20;6:2:1:19;7:3:1:13
2,3:1:1:23;8:4:1:8;4:0:0:33;1:5:0:30;2:2:0:6
3,5:3:0:4;6:1:0:18;7:4:0:25;3:0:1:21;8:5:1:34
4,4:2:1:11;1:3:1:15;2:1:1:7;5:4:1:22;6:0:0:1
5,7:5:0:14;3:2:0:2;8:3:0:17;4:1:0:5;1:4:0:26
6,2:0:1:28;5:5:1:10;6:2:1:16;7:3:1:24;3:1:1:31
7,8:4:1:32;4:0:0:9;1:5:0:3;2:2:0:27;5:3:0:29
8,6:1:0:0;7:4:0:12;3:0:1:20;8:5:1:19;4:2:1:13
9,1:3:1:23;2:1:1:8;5:4:1:33;6:0:0:30;7:5:0:6
10,3:2:0:4;8:3:0:18;4:1:0:25;1:4:0:21;2:0:1:34
11,5:5:1:11;6:2:1:15;7:3:1:7;3:1:1:22;8:4:1:1
12,4:0:0:14;1:5:0:2;2:2:0:17;5:3:0:5;6:1:0:26
13,7:4:0:28;3:0:1:10;8:5:1:16;4:2:1:24;1:3:1:31
14,2:1:1:32;5:4:1:9;6:0:0:3;7:5:0:27;3:2:0:29
15,8:3:0:0;4:1:0:12;1:4:0:20;2:0:1:19;5:5:1:13
16,6:2:1:23;7:3:1:8;3:1:1:33;8:4:1:30;4:0:0:6
17,1:5:0:4;2:2:0:18;5:3:0:25;6:1:0:21;7:4:0:34
18,3:0:1:11;8:5:1:15;4:2:1:7;1:3:1:22;2:1:1:1
19,5:4:1:14;6:0:0:2;7:5:0:17;3:2:0:5;8:3:0:26
20,4:1:0:28;1:4:0:10;2:0:1:16;5:5:1:24;6:2:1:31
21,7:3:1:32;3:1:1:9;8:4:1:3;4:0:0:27;1:5:0:29
22,2:2:0:0;5:3:0:12;6:1:0:20;7:4:0:19;3:0:1:13
23,8:5:1:23;4:2:1:8;1:3:1:33;2:1:1:30;5:4:1:6
24,6:0:0:4;7:5:0:18;3:2:0:25;8:3:0:21;4:1:0:34
25,1:4:0:11;2:0:1:15;5:5:1:7;6:2:1:22;7:3:1:1
26,3:1:1:14;8:4:1:2;4:0:0:17;1:5:0:5;2:2:0:26
27,5:3:0:28;6:1:0:10;7:4:0:16;3:0:1:24;8:5:1:31
28,4:2:1:32;1:3:1:9;2:1:1:3;5:4:1:27;6:0:0:29
29,7:5:0:0;3:2:0:12;8:3:0:20;4:1:0:19;1:4:0:13
30,2:0:1:23;5:5:1:8;6:2:1:33;7:3:1:30;3:1:1:6
31,8:4:1:4;4:0:0:18;1:5:0:25;2:2:0:21;5:3:0:34
32,6:1:0:11;7:4:0:15;3:0:1:7;8:5:1:22;4:2:1:1
33,1:3:1:14;2:1:1:2;5:4:1:17;6:0:0:5;7:5:0:26
34,3:2:0:28;8:3:0:10;4:1:0:16;1:4:0:24;2:0:1:31
35,5:5:1:32;6:2:1:9;7:3:1:3;3:1:1:27;8:4:1:29
36,4:0:0:0;1:5:0:12;2:2:0:20;5:3:0:19;6:1:0:13
37,7:4:0:23;3:0:1:8;8:5:1:33;4:2:1:30;1:3:1:6
38,2:1:1:4;5:4:1:18;6:0:0:25;7:5:0:21;3:2:0:34
39,8:3:0:11;4:1:0:15;1:4:0:7;2:0:1:22;5:5:1:1
40,6:2:1:14;7:3:1:2;3:1:1:17;8:4:1:5;4:0:0:26
41,1:5:0:28;2:2:0:10;5:3:0:16;6:1:0:24;7:4:0:31
42,3:0:1:32;8:5:1:9;4:2:1:3;1:3:1:27;2:1:1:29
43,5:4:1:0;6:0:0:12;7:5:0:20;3:2:0:19;8:3:0:13
44,4:1:0:23;1:4:0:8;2:0:1:33;5:5:1:30;6:2:1:6
45,7:3:1:4;3:1:1:18;8:4:1:25;4:0:0:21;1:5:0:34
46,2:2:0:11;5:3:0:15;6:1:0:7;7:4:0:22;3:0:1:1
47,8:5:1:14;4:2:1:2;1:3:1:17;2:1:1:5;5:4:1:26
48,6:0:0:28;7:5:0:10;3:2:0:16;8:3:0:24;4:1:0:31
49,1:4:0:32;2:0:1:9;5:5:1:3;6:2:1:27;7:3:1:29
50,3:1:1:0;8:4:1:12;4:0:0:20;1:5:0:19;2:2:0:13
51,5:3:0:23;6:1:0:8;7:4:0:33;3:0:1:30;8:5:1:6
52,4:2:1:4;1:3:1:18;2:1:1:25;5:4:1:21;6:0:0:34
53,7:5:0:11;3:2:0:15;8:3:0:7;4:1:0:22;1:4:0:1
54,2:0:1:14;5:5:1:2;6:2:1:17;7:3:1:5;3:1:1:26
55,8:4:1:28;4:0:0:10;1:5:0:16;2:2:0:24;5:3:0:31
56,6:1:0:32;7:4:0:9;3:0:1:3;8:5:1:27;4:2:1:29
57,1:3:1:0;2:1:1:12;5:4:1:20;6:0:0:19;7:5:0:13
58,3:2:0:23;8:3:0:8;4:1:0:33;1:4:0:30;2:0:1:6
59,5:5:1:4;6:2:1:18;7:3:1:25;3:1:1:21;8:4:1:34
60,4:0:0:11;1:5:0:15;2:2:0:7;5:3:0:22;6:1:0:1
61,7:4:0:14;3:0:1:2;8:5:1:17;4:2:1:5;1:3:1:26
62,2:1:1:28;5:4:1:10;6:0:0:16;7:5:0:24;3:2:0:31
63,8:3:0:32;4:1:0:9;1:4:0:3;2:0:1:27;5:5:1:29
64,6:2:1:0;7:3:1:12;3:1:1:20;8:4:1:19;4:0:0:13
65,1:5:0:23;2:2:0:8;5:3:0:33;6:1:0:30;7:4:0:6
66,3:0:1:4;8:5:1:18;4:2:1:25;1:3:1:21;2:1:1:34
67,5:4:1:11;6:0:0:15;7:5:0:7;3:2:0:22;8:3:0:1
68,4:1:0:14;1:4:0:2;2:0:1:17;5:5:1:5;6:2:1:26
69,7:3:1:28;3:1:1:10;8:4:1:16;4:0:0:24;1:5:0:31
70,2:2:0:32;5:3:0:9;6:1:0:3;7:4:0:27;3:0:1:29
71,8:5:1:0;4:2:1:12;1:3:1:20;2:1:1:19;5:4:1:13
72,6:0:0:23;7:5:0:8;3:2:0:33;8:3:0:30;4:1:0:6
73,1:4:0:4;2:0:1:18;5:5:1:25;6:2:1:21;7:3:1:34
74,3:1:1:11;8:4:1:15;4:0:0:7;1:5:0:22;2:2:0:1
75,5:3:0:14;6:1:0:2;7:4:0:17;3:0:1:5;8:5:1:26
76,4:2:1:28;1:3:1:10;2:1:1:16;5:4:1:24;6:0:0:31
77,7:5:0:32;3:2:0:9;8:3:0:3;4:1:0:27;1:4:0:29
78,2:0:1:0;5:5:1:12;6:2:1:20;7:3:1:19;3:1:1:13
79,8:4:1:23;4:0:0:8;1:5:0:33;2:2:0:30;5:3:0:6
