trial,k,category,site_row
9,8,MISCORRECTION,3:4:0:6;10:2:0:1;5:5:0:16;4:0:0:21;2:1:0:9;6:3:0:0;1:4:1:10;7:2:1:14
17,8,MISCORRECTION,3:1:0:3;10:3:0:17;5:4:1:20;4:2:1:7;2:5:1:15;6:0:1:34;1:1:1:6;7:3:1:1
27,8,MISCORRECTION,3:4:0:9;10:2:0:0;5:5:0:10;4:0:0:14;2:1:0:11;6:3:0:26;1:4:1:18;7:2:1:27
44,8,MISCORRECTION,3:1:0:6;10:3:0:1;5:4:1:16;4:2:1:21;2:5:1:9;6:0:1:0;1:1:1:10;7:3:1:14
62,8,MISCORRECTION,3:1:0:9;10:3:0:0;5:4:1:10;4:2:1:14;2:5:1:11;6:0:1:26;1:1:1:18;7:3:1:27
79,8,MISCORRECTION,3:5:1:6;10:0:1:1;5:1:1:16;4:3:1:21;2:4:0:9;6:2:0:0;1:5:0:10;7:0:0:14
87,8,MISCORRECTION,3:4:0:3;10:2:0:17;5:5:0:20;4:0:0:7;2:1:0:15;6:3:0:34;1:4:1:6;7:2:1:1
97,8,MISCORRECTION,3:5:1:9;10:0:1:0;5:1:1:10;4:3:1:14;2:4:0:11;6:2:0:26;1:5:0:18;7:0:0:27
114,8,MISCORRECTION,3:4:0:6;10:2:0:1;5:5:0:16;4:0:0:21;2:1:0:9;6:3:0:0;1:4:1:10;7:2:1:14
122,8,MISCORRECTION,3:1:0:3;10:3:0:17;5:4:1:20;4:2:1:7;2:5:1:15;6:0:1:34;1:1:1:6;7:3:1:1
132,8,MISCORRECTION,3:4:0:9;10:2:0:0;5:5:0:10;4:0:0:14;2:1:0:11;6:3:0:26;1:4:1:18;7:2:1:27
149,8,MISCORRECTION,3:1:0:6;10:3:0:1;5:4:1:16;4:2:1:21;2:5:1:9;6:0:1:0;1:1:1:10;7:3:1:14
167,8,MISCORRECTION,3:1:0:9;10:3:0:0;5:4:1:10;4:2:1:14;2:5:1:11;6:0:1:26;1:1:1:18;7:3:1:27
184,8,MISCORRECTION,3:5:1:6;10:0:1:1;5:1:1:16;4:3:1:21;2:4:0:9;6:2:0:0;1:5:0:10;7:0:0:14
192,8,MISCORRECTION,3:4:0:3;10:2:0:17;5:5:0:20;4:0:0:7;2:1:0:15;6:3:0:34;1:4:1:6;7:2:1:1
