trial,sites(stage:symbol:component:bit;...)
0,3:4:0:15;10:2:0:34;5:5:0:6;4:0:0:1;2:1:0:16;6:3:0:21;1:4:1:9;7:2:1:0
1,3:5:1:10;10:0:1:14;5:1:1:11;4:3:1:26;2:4:0:18;6:2:0:27;1:5:0:13;7:0:0:32
2,3:1:0:31;10:3:0:33;5:4:1:12;4:2:1:22;2:5:1:28;6:0:1:23;1:1:1:24;7:3:1:2
3,3:4:0:30;10:2:0:25;5:5:0:19;4:0:0:29;2:1:0:5;6:3:0:4;1:4:1:8;7:2:1:3
4,3:5:1:17;10:0:1:20;5:1:1:7;4:3:1:15;2:4:0:34;6:2:0:6;1:5:0:1;7:0:0:16
5,3:1:0:21;10:3:0:9;5:4:1:0;4:2:1:10;2:5:1:14;6:0:1:11;1:1:1:26;7:3:1:18
6,3:4:0:27;10:2:0:13;5:5:0:32;4:0:0:31;2:1:0:33;6:3:0:12;1:4:1:22;7:2:1:28
7,3:5:1:23;10:0:1:24;5:1:1:2;4:3:1:30;2:4:0:25;6:2:0:19;1:5:0:29;7:0:0:5
8,3:1:0:4;10:3:0:8;5:4:1:3;4:2:1:17;2:5:1:20;6:0:1:7;1:1:1:15;7:3:1:34
9,3:4:0:6;10:2:0:1;5:5:0:16;4:0:0:21;2:1:0:9;6:3:0:0;1:4:1:10;7:2:1:14
10,3:5:1:11;10:0:1:26;5:1:1:18;4:3:1:27;2:4:0:13;6:2:0:32;1:5:0:31;7:0:0:33
11,3:1:0:12;10:3:0:22;5:4:1:28;4:2:1:23;2:5:1:24;6:0:1:2;1:1:1:30;7:3:1:25
12,3:4:0:19;10:2:0:29;5:5:0:5;4:0:0:4;2:1:0:8;6:3:0:3;1:4:1:17;7:2:1:20
13,3:5:1:7;10:0:1:15;5:1:1:34;4:3:1:6;2:4:0:1;6:2:0:16;1:5:0:21;7:0:0:9
14,3:1:0:0;10:3:0:10;5:4:1:14;4:2:1:11;2:5:1:26;6:0:1:18;1:1:1:27;7:3:1:13
15,3:4:0:32;10:2:0:31;5:5:0:33;4:0:0:12;2:1:0:22;6:3:0:28;1:4:1:23;7:2:1:24
16,3:5:1:2;10:0:1:30;5:1:1:25;4:3:1:19;2:4:0:29;6:2:0:5;1:5:0:4;7:0:0:8
17,3:1:0:3;10:3:0:17;5:4:1:20;4:2:1:7;2:5:1:15;6:0:1:34;1:1:1:6;7:3:1:1
18,3:4:0:16;10:2:0:21;5:5:0:9;4:0:0:0;2:1:0:10;6:3:0:14;1:4:1:11;7:2:1:26
19,3:5:1:18;10:0:1:27;5:1:1:13;4:3:1:32;2:4:0:31;6:2:0:33;1:5:0:12;7:0:0:22
20,3:1:0:28;10:3:0:23;5:4:1:24;4:2:1:2;2:5:1:30;6:0:1:25;1:1:1:19;7:3:1:29
21,3:4:0:5;10:2:0:4;5:5:0:8;4:0:0:3;2:1:0:17;6:3:0:20;1:4:1:7;7:2:1:15
22,3:5:1:34;10:0:1:6;5:1:1:1;4:3:1:16;2:4:0:21;6:2:0:9;1:5:0:0;7:0:0:10
23,3:1:0:14;10:3:0:11;5:4:1:26;4:2:1:18;2:5:1:27;6:0:1:13;1:1:1:32;7:3:1:31
24,3:4:0:33;10:2:0:12;5:5:0:22;4:0:0:28;2:1:0:23;6:3:0:24;1:4:1:2;7:2:1:30
25,3:5:1:25;10:0:1:19;5:1:1:29;4:3:1:5;2:4:0:4;6:2:0:8;1:5:0:3;7:0:0:17
26,3:1:0:20;10:3:0:7;5:4:1:15;4:2:1:34;2:5:1:6;6:0:1:1;1:1:1:16;7:3:1:21
27,3:4:0:9;10:2:0:0;5:5:0:10;4:0:0:14;2:1:0:11;6:3:0:26;1:4:1:18;7:2:1:27
28,3:5:1:13;10:0:1:32;5:1:1:31;4:3:1:33;2:4:0:12;6:2:0:22;1:5:0:28;7:0:0:23
29,3:1:0:24;10:3:0:2;5:4:1:30;4:2:1:25;2:5:1:19;6:0:1:29;1:1:1:5;7:3:1:4
30,3:4:0:8;10:2:0:3;5:5:0:17;4:0:0:20;2:1:0:7;6:3:0:15;1:4:1:34;7:2:1:6
31,3:5:1:1;10:0:1:16;5:1:1:21;4:3:1:9;2:4:0:0;6:2:0:10;1:5:0:14;7:0:0:11
32,3:1:0:26;10:3:0:18;5:4:1:27;4:2:1:13;2:5:1:32;6:0:1:31;1:1:1:33;7:3:1:12
33,3:4:0:22;10:2:0:28;5:5:0:23;4:0:0:24;2:1:0:2;6:3:0:30;1:4:1:25;7:2:1:19
34,3:5:1:29;10:0:1:5;5:1:1:4;4:3:1:8;2:4:0:3;6:2:0:17;1:5:0:20;7:0:0:7
35,3:1:0:15;10:3:0:34;5:4:1:6;4:2:1:1;2:5:1:16;6:0:1:21;1:1:1:9;7:3:1:0
36,3:4:0:10;10:2:0:14;5:5:0:11;4:0:0:26;2:1:0:18;6:3:0:27;1:4:1:13;7:2:1:32
37,3:5:1:31;10:0:1:33;5:1:1:12;4:3:1:22;2:4:0:28;6:2:0:23;1:5:0:24;7:0:0:2
38,3:1:0:30;10:3:0:25;5:4:1:19;4:2:1:29;2:5:1:5;6:0:1:4;1:1:1:8;7:3:1:3
39,3:4:0:17;10:2:0:20;5:5:0:7;4:0:0:15;2:1:0:34;6:3:0:6;1:4:1:1;7:2:1:16
40,3:5:1:21;10:0:1:9;5:1:1:0;4:3:1:10;2:4:0:14;6:2:0:11;1:5:0:26;7:0:0:18
41,3:1:0:27;10:3:0:13;5:4:1:32;4:2:1:31;2:5:1:33;6:0:1:12;1:1:1:22;7:3:1:28
42,3:4:0:23;10:2:0:24;5:5:0:2;4:0:0:30;2:1:0:25;6:3:0:19;1:4:1:29;7:2:1:5
43,3:5:1:4;10:0:1:8;5:1:1:3;4:3:1:17;2:4:0:20;6:2:0:7;1:5:0:15;7:0:0:34
44,3:1:0:6;10:3:0:1;5:4:1:16;4:2:1:21;2:5:1:9;6:0:1:0;1:1:1:10;7:3:1:14
45,3:4:0:11;10:2:0:26;5:5:0:18;4:0:0:27;2:1:0:13;6:3:0:32;1:4:1:31;7:2:1:33
46,3:5:1:12;10:0:1:22;5:1:1:28;4:3:1:23;2:4:0:24;6:2:0:2;1:5:0:30;7:0:0:25
47,3:1:0:19;10:3:0:29;5:4:1:5;4:2:1:4;2:5:1:8;6:0:1:3;1:1:1:17;7:3:1:20
48,3:4:0:7;10:2:0:15;5:5:0:34;4:0:0:6;2:1:0:1;6:3:0:16;1:4:1:21;7:2:1:9
49,3:5:1:0;10:0:1:10;5:1:1:14;4:3:1:11;2:4:0:26;6:2:0:18;1:5:0:27;7:0:0:13
50,3:1:0:32;10:3:0:31;5:4:1:33;4:2:1:12;2:5:1:22;6:0:1:28;1:1:1:23;7:3:1:24
51,3:4:0:2;10:2:0:30;5:5:0:25;4:0:0:19;2:1:0:29;6:3:0:5;1:4:1:4;7:2:1:8
52,3:5:1:3;10:0:1:17;5:1:1:20;4:3:1:7;2:4:0:15;6:2:0:34;1:5:0:6;7:0:0:1
53,3:1:0:16;10:3:0:21;5:4:1:9;4:2:1:0;2:5:1:10;6:0:1:14;1:1:1:11;7:3:1:26
54,3:4:0:18;10:2:0:27;5:5:0:13;4:0:0:32;2:1:0:31;6:3:0:33;1:4:1:12;7:2:1:22
55,3:5:1:28;10:0:1:23;5:1:1:24;4:3:1:2;2:4:0:30;6:2:0:25;1:5:0:19;7:0:0:29
56,3:1:0:5;10:3:0:4;5:4:1:8;4:2:1:3;2:5:1:17;6:0:1:20;1:1:1:7;7:3:1:15
57,3:4:0:34;10:2:0:6;5:5:0:1;4:0:0:16;2:1:0:21;6:3:0:9;1:4:1:0;7:2:1:10
58,3:5:1:14;10:0:1:11;5:1:1:26;4:3:1:18;2:4:0:27;6:2:0:13;1:5:0:32;7:0:0:31
59,3:1:0:33;10:3:0:12;5:4:1:22;4:2:1:28;2:5:1:23;6:0:1:24;1:1:1:2;7:3:1:30
60,3:4:0:25;10:2:0:19;5:5:0:29;4:0:0:5;2:1:0:4;6:3:0:8;1:4:1:3;7:2:1:17
61,3:5:1:20;10:0:1:7;5:1:1:15;4:3:1:34;2:4:0:6;6:2:0:1;1:5:0:16;7:0:0:21
62,3:1:0:9;10:3:0:0;5:4:1:10;4:2:1:14;2:5:1:11;6:0:1:26;1:1:1:18;7:3:1:27
63,3:4:0:13;10:2:0:32;5:5:0:31;4:0:0:33;2:1:0:12;6:3:0:22;1:4:1:28;7:2:1:23
64,3:5:1:24;10:0:1:2;5:1:1:30;4:3:1:25;2:4:0:19;6:2:0:29;1:5:0:5;7:0:0:4
65,3:1:0:8;10:3:0:3;5:4:1:17;4:2:1:20;2:5:1:7;6:0:1:15;1:1:1:34;7:3:1:6
66,3:4:0:1;10:2:0:16;5:5:0:21;4:0:0:9;2:1:0:0;6:3:0:10;1:4:1:14;7:2:1:11
67,3:5:1:26;10:0:1:18;5:1:1:27;4:3:1:13;2:4:0:32;6:2:0:31;1:5:0:33;7:0:0:12
68,3:1:0:22;10:3:0:28;5:4:1:23;4:2:1:24;2:5:1:2;6:0:1:30;1:1:1:25;7:3:1:19
69,3:4:0:29;10:2:0:5;5:5:0:4;4:0:0:8;2:1:0:3;6:3:0:17;1:4:1:20;7:2:1:7
70,3:5:1:15;10:0:1:34;5:1:1:6;4:3:1:1;2:4:0:16;6:2:0:21;1:5:0:9;7:0:0:0
71,3:1:0:10;10:3:0:14;5:4:1:11;4:2:1:26;2:5:1:18;6:0:1:27;1:1:1:13;7:3:1:32
72,3:4:0:31;10:2:0:33;5:5:0:12;4:0:0:22;2:1:0:28;6:3:0:23;1:4:1:24;7:2:1:2
73,3:5:1:30;10:0:1:25;5:1:1:19;4:3:1:29;2:4:0:5;6:2:0:4;1:5:0:8;7:0:0:3
74,3:1:0:17;10:3:0:20;5:4:1:7;4:2:1:15;2:5:1:34;6:0:1:6;1:1:1:1;7:3:1:16
75,3:4:0:21;10:2:0:9;5:5:0:0;4:0:0:10;2:1:0:14;6:3:0:11;1:4:1:26;7:2:1:18
76,3:5:1:27;10:0:1:13;5:1:1:32;4:3:1:31;2:4:0:33;6:2:0:12;1:5:0:22;7:0:0:28
77,3:1:0:23;10:3:0:24;5:4:1:2;4:2:1:30;2:5:1:25;6:0:1:19;1:1:1:29;7:3:1:5
78,3:4:0:4;10:2:0:8;5:5:0:3;4:0:0:17;2:1:0:20;6:3:0:7;1:4:1:15;7:2:1:34
79,3:5:1:6;10:0:1:1;5:1:1:16;4:3:1:21;2:4:0:9;6:2:0:0;1:5:0:10;7:0:0:14
80,3:1:0:11;10:3:0:26;5:4:1:18;4:2:1:27;2:5:1:13;6:0:1:32;1:1:1:31;7:3:1:33
81,3:4:0:12;10:2:0:22;5:5:0:28;4:0:0:23;2:1:0:24;6:3:0:2;1:4:1:30;7:2:1:25
82,3:5:1:19;10:0:1:29;5:1:1:5;4:3:1:4;2:4:0:8;6:2:0:3;1:5:0:17;7:0:0:20
83,3:1:0:7;10:3:0:15;5:4:1:34;4:2:1:6;2:5:1:1;6:0:1:16;1:1:1:21;7:3:1:9
84,3:4:0:0;10:2:0:10;5:5:0:14;4:0:0:11;2:1:0:26;6:3:0:18;1:4:1:27;7:2:1:13
85,3:5:1:32;10:0:1:31;5:1:1:33;4:3:1:12;2:4:0:22;6:2:0:28;1:5:0:23;7:0:0:24
86,3:1:0:2;10:3:0:30;5:4:1:25;4:2:1:19;2:5:1:29;6:0:1:5;1:1:1:4;7:3:1:8
87,3:4:0:3;10:2:0:17;5:5:0:20;4:0:0:7;2:1:0:15;6:3:0:34;1:4:1:6;7:2:1:1
88,3:5:1:16;10:0:1:21;5:1:1:9;4:3:1:0;2:4:0:10;6:2:0:14;1:5:0:11;7:0:0:26
89,3:1:0:18;10:3:0:27;5:4:1:13;4:2:1:32;2:5:1:31;6:0:1:33;1:1:1:12;7:3:1:22
90,3:4:0:28;10:2:0:23;5:5:0:24;4:0:0:2;2:1:0:30;6:3:0:25;1:4:1:19;7:2:1:29
91,3:5:1:5;10:0:1:4;5:1:1:8;4:3:1:3;2:4:0:17;6:2:0:20;1:5:0:7;7:0:0:15
92,3:1:0:34;10:3:0:6;5:4:1:1;4:2:1:16;2:5:1:21;6:0:1:9;1:1:1:0;7:3:1:10
93,3:4:0:14;10:2:0:11;5:5:0:26;4:0:0:18;2:1:0:27;6:3:0:13;1:4:1:32;7:2:1:31
94,3:5:1:33;10:0:1:12;5:1:1:22;4:3:1:28;2:4:0:23;6:2:0:24;1:5:0:2;7:0:0:30
95,3:1:0:25;10:3:0:19;5:4:1:29;4:2:1:5;2:5:1:4;6:0:1:8;1:1:1:3;7:3:1:17
96,3:4:0:20;10:2:0:7;5:5:0:15;4:0:0:34;2:1:0:6;6:3:0:1;1:4:1:16;7:2:1:21
97,3:5:1:9;10:0:1:0;5:1:1:10;4:3:1:14;2:4:0:11;6:2:0:26;1:5:0:18;7:0:0:27
98,3:1:0:13;10:3:0:32;5:4:1:31;4:2:1:33;2:5:1:12;6:0:1:22;1:1:1:28;7:3:1:23
99,3:4:0:24;10:2:0:2;5:5:0:30;4:0:0:25;2:1:0:19;6:3:0:29;1:4:1:5;7:2:1:4
100,3:5:1:8;10:0:1:3;5:1:1:17;4:3:1:20;2:4:0:7;6:2:0:15;1:5:0:34;7:0:0:6
101,3:1:0:1;10:3:0:16;5:4:1:21;4:2:1:9;2:5:1:0;6:0:1:10;1:1:1:14;7:3:1:11
102,3:4:0:26;10:2:0:18;5:5:0:27;4:0:0:13;2:1:0:32;6:3:0:31;1:4:1:33;7:2:1:12
103,3:5:1:22;10:0:1:28;5:1:1:23;4:3:1:24;2:4:0:2;6:2:0:30;1:5:0:25;7:0:0:19
104,3:1:0:29;10:3:0:5;5:4:1:4;4:2:1:8;2:5:1:3;6:0:1:17;1:1:1:20;7:3:1:7
105,3:4:0:15;10:2:0:34;5:5:0:6;4:0:0:1;2:1:0:16;6:3:0:21;1:4:1:9;7:2:1:0
106,3:5:1:10;10:0:1:14;5:1:1:11;4:3:1:26;2:4:0:18;6:2:0:27;1:5:0:13;7:0:0:32
107,3:1:0:31;10:3:0:33;5:4:1:12;4:2:1:22;2:5:1:28;6:0:1:23;1:1:1:24;7:3:1:2
108,3:4:0:30;10:2:0:25;5:5:0:19;4:0:0:29;2:1:0:5;6:3:0:4;1:4:1:8;7:2:1:3
109,3:5:1:17;10:0:1:20;5:1:1:7;4:3:1:15;2:4:0:34;6:2:0:6;1:5:0:1;7:0:0:16
110,3:1:0:21;10:3:0:9;5:4:1:0;4:2:1:10;2:5:1:14;6:0:1:11;1:1:1:26;7:3:1:18
111,3:4:0:27;10:2:0:13;5:5:0:32;4:0:0:31;2:1:0:33;6:3:0:12;1:4:1:22;7:2:1:28
112,3:5:1:23;10:0:1:24;5:1:1:2;4:3:1:30;2:4:0:25;6:2:0:19;1:5:0:29;7:0:0:5
113,3:1:0:4;10:3:0:8;5:4:1:3;4:2:1:17;2:5:1:20;6:0:1:7;1:1:1:15;7:3:1:34
114,3:4:0:6;10:2:0:1;5:5:0:16;4:0:0:21;2:1:0:9;6:3:0:0;1:4:1:10;7:2:1:14
115,3:5:1:11;10:0:1:26;5:1:1:18;4:3:1:27;2:4:0:13;6:2:0:32;1:5:0:31;7:0:0:33
116,3:1:0:12;10:3:0:22;5:4:1:28;4:2:1:23;2:5:1:24;6:0:1:2;1:1:1:30;7:3:1:25
117,3:4:0:19;10:2:0:29;5:5:0:5;4:0:0:4;2:1:0:8;6:3:0:3;1:4:1:17;7:2:1:20
118,3:5:1:7;10:0:1:15;5:1:1:34;4:3:1:6;2:4:0:1;6:2:0:16;1:5:0:21;7:0:0:9
119,3:1:0:0;10:3:0:10;5:4:1:14;4:2:1:11;2:5:1:26;6:0:1:18;1:1:1:27;7:3:1:13
120,3:4:0:32;10:2:0:31;5:5:0:33;4:0:0:12;2:1:0:22;6:3:0:28;1:4:1:23;7:2:1:24
121,3:5:1:2;10:0:1:30;5:1:1:25;4:3:1:19;2:4:0:29;6:2:0:5;1:5:0:4;7:0:0:8
122,3:1:0:3;10:3:0:17;5:4:1:20;4:2:1:7;2:5:1:15;6:0:1:34;1:1:1:6;7:3:1:1
123,3:4:0:16;10:2:0:21;5:5:0:9;4:0:0:0;2:1:0:10;6:3:0:14;1:4:1:11;7:2:1:26
124,3:5:1:18;10:0:1:27;5:1:1:13;4:3:1:32;2:4:0:31;6:2:0:33;1:5:0:12;7:0:0:22
125,3:1:0:28;10:3:0:23;5:4:1:24;4:2:1:2;2:5:1:30;6:0:1:25;1:1:1:19;7:3:1:29
126,3:4:0:5;10:2:0:4;5:5:0:8;4:0:0:3;2:1:0:17;6:3:0:20;1:4:1:7;7:2:1:15
127,3:5:1:34;10:0:1:6;5:1:1:1;4:3:1:16;2:4:0:21;6:2:0:9;1:5:0:0;7:0:0:10
128,3:1:0:14;10:3:0:11;5:4:1:26;4:2:1:18;2:5:1:27;6:0:1:13;1:1:1:32;7:3:1:31
129,3:4:0:33;10:2:0:12;5:5:0:22;4:0:0:28;2:1:0:23;6:3:0:24;1:4:1:2;7:2:1:30
130,3:5:1:25;10:0:1:19;5:1:1:29;4:3:1:5;2:4:0:4;6:2:0:8;1:5:0:3;7:0:0:17
131,3:1:0:20;10:3:0:7;5:4:1:15;4:2:1:34;2:5:1:6;6:0:1:1;1:1:1:16;7:3:1:21
132,3:4:0:9;10:2:0:0;5:5:0:10;4:0:0:14;2:1:0:11;6:3:0:26;1:4:1:18;7:2:1:27
133,3:5:1:13;10:0:1:32;5:1:1:31;4:3:1:33;2:4:0:12;6:2:0:22;1:5:0:28;7:0:0:23
134,3:1:0:24;10:3:0:2;5:4:1:30;4:2:1:25;2:5:1:19;6:0:1:29;1:1:1:5;7:3:1:4
135,3:4:0:8;10:2:0:3;5:5:0:17;4:0:0:20;2:1:0:7;6:3:0:15;1:4:1:34;7:2:1:6
136,3:5:1:1;10:0:1:16;5:1:1:21;4:3:1:9;2:4:0:0;6:2:0:10;1:5:0:14;7:0:0:11
137,3:1:0:26;10:3:0:18;5:4:1:27;4:2:1:13;2:5:1:32;6:0:1:31;1:1:1:33;7:3:1:12
138,3:4:0:22;10:2:0:28;5:5:0:23;4:0:0:24;2:1:0:2;6:3:0:30;1:4:1:25;7:2:1:19
139,3:5:1:29;10:0:1:5;5:1:1:4;4:3:1:8;2:4:0:3;6:2:0:17;1:5:0:20;7:0:0:7
140,3:1:0:15;10:3:0:34;5:4:1:6;4:2:1:1;2:5:1:16;6:0:1:21;1:1:1:9;7:3:1:0
141,3:4:0:10;10:2:0:14;5:5:0:11;4:0:0:26;2:1:0:18;6:3:0:27;1:4:1:13;7:2:1:32
142,3:5:1:31;10:0:1:33;5:1:1:12;4:3:1:22;2:4:0:28;6:2:0:23;1:5:0:24;7:0:0:2
143,3:1:0:30;10:3:0:25;5:4:1:19;4:2:1:29;2:5:1:5;6:0:1:4;1:1:1:8;7:3:1:3
144,3:4:0:17;10:2:0:20;5:5:0:7;4:0:0:15;2:1:0:34;6:3:0:6;1:4:1:1;7:2:1:16
145,3:5:1:21;10:0:1:9;5:1:1:0;4:3:1:10;2:4:0:14;6:2:0:11;1:5:0:26;7:0:0:18
146,3:1:0:27;10:3:0:13;5:4:1:32;4:2:1:31;2:5:1:33;6:0:1:12;1:1:1:22;7:3:1:28
147,3:4:0:23;10:2:0:24;5:5:0:2;4:0:0:30;2:1:0:25;6:3:0:19;1:4:1:29;7:2:1:5
148,3:5:1:4;10:0:1:8;5:1:1:3;4:3:1:17;2:4:0:20;6:2:0:7;1:5:0:15;7:0:0:34
149,3:1:0:6;10:3:0:1;5:4:1:16;4:2:1:21;2:5:1:9;6:0:1:0;1:1:1:10;7:3:1:14
150,3:4:0:11;10:2:0:26;5:5:0:18;4:0:0:27;2:1:0:13;6:3:0:32;1:4:1:31;7:2:1:33
151,3:5:1:12;10:0:1:22;5:1:1:28;4:3:1:23;2:4:0:24;6:2:0:2;1:5:0:30;7:0:0:25
152,3:1:0:19;10:3:0:29;5:4:1:5;4:2:1:4;2:5:1:8;6:0:1:3;1:1:1:17;7:3:1:20
153,3:4:0:7;10:2:0:15;5:5:0:34;4:0:0:6;2:1:0:1;6:3:0:16;1:4:1:21;7:2:1:9
154,3:5:1:0;10:0:1:10;5:1:1:14;4:3:1:11;2:4:0:26;6:2:0:18;1:5:0:27;7:0:0:13
155,3:1:0:32;10:3:0:31;5:4:1:33;4:2:1:12;2:5:1:22;6:0:1:28;1:1:1:23;7:3:1:24
156,3:4:0:2;10:2:0:30;5:5:0:25;4:0:0:19;2:1:0:29;6:3:0:5;1:4:1:4;7:2:1:8
157,3:5:1:3;10:0:1:17;5:1:1:20;4:3:1:7;2:4:0:15;6:2:0:34;1:5:0:6;7:0:0:1
158,3:1:0:16;10:3:0:21;5:4:1:9;4:2:1:0;2:5:1:10;6:0:1:14;1:1:1:11;7:3:1:26
159,3:4:0:18;10:2:0:27;5:5:0:13;4:0:0:32;2:1:0:31;6:3:0:33;1:4:1:12;7:2:1:22
160,3:5:1:28;10:0:1:23;5:1:1:24;4:3:1:2;2:4:0:30;6:2:0:25;1:5:0:19;7:0:0:29
161,3:1:0:5;10:3:0:4;5:4:1:8;4:2:1:3;2:5:1:17;6:0:1:20;1:1:1:7;7:3:1:15
162,3:4:0:34;10:2:0:6;5:5:0:1;4:0:0:16;2:1:0:21;6:3:0:9;1:4:1:0;7:2:1:10
163,3:5:1:14;10:0:1:11;5:1:1:26;4:3:1:18;2:4:0:27;6:2:0:13;1:5:0:32;7:0:0:31
164,3:1:0:33;10:3:0:12;5:4:1:22;4:2:1:28;2:5:1:23;6:0:1:24;1:1:1:2;7:3:1:30
165,3:4:0:25;10:2:0:19;5:5:0:29;4:0:0:5;2:1:0:4;6:3:0:8;1:4:1:3;7:2:1:17
166,3:5:1:20;10:0:1:7;5:1:1:15;4:3:1:34;2:4:0:6;6:2:0:1;1:5:0:16;7:0:0:21
167,3:1:0:9;10:3:0:0;5:4:1:10;4:2:1:14;2:5:1:11;6:0:1:26;1:1:1:18;7:3:1:27
168,3:4:0:13;10:2:0:32;5:5:0:31;4:0:0:33;2:1:0:12;6:3:0:22;1:4:1:28;7:2:1:23
169,3:5:1:24;10:0:1:2;5:1:1:30;4:3:1:25;2:4:0:19;6:2:0:29;1:5:0:5;7:0:0:4
170,3:1:0:8;10:3:0:3;5:4:1:17;4:2:1:20;2:5:1:7;6:0:1:15;1:1:1:34;7:3:1:6
171,3:4:0:1;10:2:0:16;5:5:0:21;4:0:0:9;2:1:0:0;6:3:0:10;1:4:1:14;7:2:1:11
172,3:5:1:26;10:0:1:18;5:1:1:27;4:3:1:13;2:4:0:32;6:2:0:31;1:5:0:33;7:0:0:12
173,3:1:0:22;10:3:0:28;5:4:1:23;4:2:1:24;2:5:1:2;6:0:1:30;1:1:1:25;7:3:1:19
174,3:4:0:29;10:2:0:5;5:5:0:4;4:0:0:8;2:1:0:3;6:3:0:17;1:4:1:20;7:2:1:7
175,3:5:1:15;10:0:1:34;5:1:1:6;4:3:1:1;2:4:0:16;6:2:0:21;1:5:0:9;7:0:0:0
176,3:1:0:10;10:3:0:14;5:4:1:11;4:2:1:26;2:5:1:18;6:0:1:27;1:1:1:13;7:3:1:32
177,3:4:0:31;10:2:0:33;5:5:0:12;4:0:0:22;2:1:0:28;6:3:0:23;1:4:1:24;7:2:1:2
178,3:5:1:30;10:0:1:25;5:1:1:19;4:3:1:29;2:4:0:5;6:2:0:4;1:5:0:8;7:0:0:3
179,3:1:0:17;10:3:0:20;5:4:1:7;4:2:1:15;2:5:1:34;6:0:1:6;1:1:1:1;7:3:1:16
