trial,k,category,site_row
4,8,MISCORRECTION,3:1:1:18;8:4:1:33;2:5:1:15;7:3:1:1;4:0:0:10;1:2:0:27;5:1:0:17;6:4:0:8
30,8,MISCORRECTION,3:0:0:24;8:2:0:0;2:1:0:18;7:4:0:33;4:5:0:15;1:3:0:1;5:0:1:10;6:2:1:27
48,8,MISCORRECTION,3:0:0:15;8:2:0:1;2:1:0:10;7:4:0:27;4:5:0:17;1:3:0:8;5:0:1:19;6:2:1:11
65,8,MISCORRECTION,3:5:0:24;8:3:0:0;2:0:1:18;7:2:1:33;4:1:1:15;1:4:1:1;5:5:1:10;6:3:1:27
74,8,MISCORRECTION,3:5:0:18;8:3:0:33;2:0:1:15;7:2:1:1;4:1:1:10;1:4:1:27;5:5:1:17;6:3:1:8
83,8,MISCORRECTION,3:5:0:15;8:3:0:1;2:0:1:10;7:2:1:27;4:1:1:17;1:4:1:8;5:5:1:19;6:3:1:11
109,8,MISCORRECTION,3:1:1:18;8:4:1:33;2:5:1:15;7:3:1:1;4:0:0:10;1:2:0:27;5:1:0:17;6:4:0:8
135,8,MISCORRECTION,3:0:0:24;8:2:0:0;2:1:0:18;7:4:0:33;4:5:0:15;1:3:0:1;5:0:1:10;6:2:1:27
153,8,MISCORRECTION,3:0:0:15;8:2:0:1;2:1:0:10;7:4:0:27;4:5:0:17;1:3:0:8;5:0:1:19;6:2:1:11
170,8,MISCORRECTION,3:5:0:24;8:3:0:0;2:0:1:18;7:2:1:33;4:1:1:15;1:4:1:1;5:5:1:10;6:3:1:27
179,8,MISCORRECTION,3:5:0:18;8:3:0:33;2:0:1:15;7:2:1:1;4:1:1:10;1:4:1:27;5:5:1:17;6:3:1:8
188,8,MISCORRECTION,3:5:0:15;8:3:0:1;2:0:1:10;7:2:1:27;4:1:1:17;1:4:1:8;5:5:1:19;6:3:1:11
