trial,sites(stage:symbol:component:bit;...)
0,3:0:0:1;8:2:0:10;2:1:0:27;7:4:0:17;4:5:0:8;1:3:0:19;5:0:1:11;6:2:1:12
1,3:1:1:28;8:4:1:26;2:5:1:23;7:3:1:21;4:0:0:7;1:2:0:34;5:1:0:25;6:4:0:14
2,3:5:0:32;8:3:0:31;2:0:1:2;7:2:1:22;4:1:1:13;1:4:1:3;5:5:1:4;6:3:1:9
3,3:0:0:6;8:2:0:20;2:1:0:16;7:4:0:30;4:5:0:5;1:3:0:29;5:0:1:24;6:2:1:0
4,3:1:1:18;8:4:1:33;2:5:1:15;7:3:1:1;4:0:0:10;1:2:0:27;5:1:0:17;6:4:0:8
5,3:5:0:19;8:3:0:11;2:0:1:12;7:2:1:28;4:1:1:26;1:4:1:23;5:5:1:21;6:3:1:7
6,3:0:0:34;8:2:0:25;2:1:0:14;7:4:0:32;4:5:0:31;1:3:0:2;5:0:1:22;6:2:1:13
7,3:1:1:3;8:4:1:4;2:5:1:9;7:3:1:6;4:0:0:20;1:2:0:16;5:1:0:30;6:4:0:5
8,3:5:0:29;8:3:0:24;2:0:1:0;7:2:1:18;4:1:1:33;1:4:1:15;5:5:1:1;6:3:1:10
9,3:0:0:27;8:2:0:17;2:1:0:8;7:4:0:19;4:5:0:11;1:3:0:12;5:0:1:28;6:2:1:26
10,3:1:1:23;8:4:1:21;2:5:1:7;7:3:1:34;4:0:0:25;1:2:0:14;5:1:0:32;6:4:0:31
11,3:5:0:2;8:3:0:22;2:0:1:13;7:2:1:3;4:1:1:4;1:4:1:9;5:5:1:6;6:3:1:20
12,3:0:0:16;8:2:0:30;2:1:0:5;7:4:0:29;4:5:0:24;1:3:0:0;5:0:1:18;6:2:1:33
13,3:1:1:15;8:4:1:1;2:5:1:10;7:3:1:27;4:0:0:17;1:2:0:8;5:1:0:19;6:4:0:11
14,3:5:0:12;8:3:0:28;2:0:1:26;7:2:1:23;4:1:1:21;1:4:1:7;5:5:1:34;6:3:1:25
15,3:0:0:14;8:2:0:32;2:1:0:31;7:4:0:2;4:5:0:22;1:3:0:13;5:0:1:3;6:2:1:4
16,3:1:1:9;8:4:1:6;2:5:1:20;7:3:1:16;4:0:0:30;1:2:0:5;5:1:0:29;6:4:0:24
17,3:5:0:0;8:3:0:18;2:0:1:33;7:2:1:15;4:1:1:1;1:4:1:10;5:5:1:27;6:3:1:17
18,3:0:0:8;8:2:0:19;2:1:0:11;7:4:0:12;4:5:0:28;1:3:0:26;5:0:1:23;6:2:1:21
19,3:1:1:7;8:4:1:34;2:5:1:25;7:3:1:14;4:0:0:32;1:2:0:31;5:1:0:2;6:4:0:22
20,3:5:0:13;8:3:0:3;2:0:1:4;7:2:1:9;4:1:1:6;1:4:1:20;5:5:1:16;6:3:1:30
21,3:0:0:5;8:2:0:29;2:1:0:24;7:4:0:0;4:5:0:18;1:3:0:33;5:0:1:15;6:2:1:1
22,3:1:1:10;8:4:1:27;2:5:1:17;7:3:1:8;4:0:0:19;1:2:0:11;5:1:0:12;6:4:0:28
23,3:5:0:26;8:3:0:23;2:0:1:21;7:2:1:7;4:1:1:34;1:4:1:25;5:5:1:14;6:3:1:32
24,3:0:0:31;8:2:0:2;2:1:0:22;7:4:0:13;4:5:0:3;1:3:0:4;5:0:1:9;6:2:1:6
25,3:1:1:20;8:4:1:16;2:5:1:30;7:3:1:5;4:0:0:29;1:2:0:24;5:1:0:0;6:4:0:18
26,3:5:0:33;8:3:0:15;2:0:1:1;7:2:1:10;4:1:1:27;1:4:1:17;5:5:1:8;6:3:1:19
27,3:0:0:11;8:2:0:12;2:1:0:28;7:4:0:26;4:5:0:23;1:3:0:21;5:0:1:7;6:2:1:34
28,3:1:1:25;8:4:1:14;2:5:1:32;7:3:1:31;4:0:0:2;1:2:0:22;5:1:0:13;6:4:0:3
29,3:5:0:4;8:3:0:9;2:0:1:6;7:2:1:20;4:1:1:16;1:4:1:30;5:5:1:5;6:3:1:29
