trial,stage,symbol,component,bit,category
0,1,0,0,0,silent_unbounded
1,1,0,0,1,silent_unbounded
2,1,0,0,2,corrected
3,1,0,0,3,corrected
4,1,0,0,4,corrected
5,1,0,0,5,corrected
6,1,0,0,6,corrected
7,1,0,0,7,corrected
8,1,0,0,8,corrected
9,1,0,0,9,corrected
10,1,0,0,10,corrected
11,1,0,0,11,corrected
12,1,0,0,12,corrected
13,1,0,0,13,corrected
14,1,0,1,0,silent_unbounded
15,1,0,1,1,silent_unbounded
16,2,0,0,0,silent_unbounded
17,2,0,0,1,silent_unbounded
18,2,0,1,0,silent_unbounded
19,2,0,1,1,silent_unbounded
20,3,0,0,0,silent_unbounded
21,3,0,0,1,silent_unbounded
22,3,0,1,0,silent_unbounded
23,3,0,1,1,silent_unbounded
24,1,4,0,0,silent_bounded_residual
25,1,4,0,1,silent_bounded_residual
26,1,4,1,0,silent_bounded_residual
27,1,4,1,1,silent_bounded_residual
28,2,4,0,0,silent_bounded_residual
29,2,4,0,1,silent_bounded_residual
30,2,4,1,0,silent_bounded_residual
31,2,4,1,1,silent_bounded_residual
32,3,4,0,0,silent_bounded_residual
33,3,4,0,1,silent_bounded_residual
34,3,4,1,0,silent_bounded_residual
35,3,4,1,1,silent_bounded_residual
