trial,stage,symbol,component,bit,category
0,1,0,0,0,silent_bounded_residual
1,1,0,0,1,silent_bounded_residual
2,1,0,0,2,corrected
3,1,0,0,3,corrected
4,1,0,0,4,corrected
5,1,0,0,5,corrected
6,1,0,0,6,corrected
7,1,0,0,7,corrected
8,1,0,0,8,corrected
9,1,0,0,9,corrected
10,1,0,0,10,corrected
11,1,0,0,11,corrected
12,1,0,0,12,corrected
13,1,0,0,13,corrected
14,1,0,1,0,silent_bounded_residual
15,1,0,1,1,silent_bounded_residual
16,2,0,0,0,silent_unbounded
17,2,0,0,1,silent_unbounded
18,2,0,1,0,silent_unbounded
19,2,0,1,1,silent_unbounded
20,3,0,0,0,silent_bounded_residual
21,3,0,0,1,silent_bounded_residual
22,3,0,1,0,silent_bounded_residual
23,3,0,1,1,silent_bounded_residual
24,4,0,0,0,silent_bounded_residual
25,4,0,0,1,silent_bounded_residual
26,4,0,1,0,silent_bounded_residual
27,4,0,1,1,silent_bounded_residual
28,1,1,0,0,silent_unbounded
29,1,1,0,1,silent_unbounded
30,2,1,0,0,silent_unbounded
31,2,1,0,1,silent_unbounded
32,2,1,1,0,silent_unbounded
33,2,1,1,1,silent_unbounded
34,3,1,0,0,silent_unbounded
35,3,1,0,1,silent_unbounded
