experiment_id,contract_hash,matrix_hash,memory_hash,legacy_matrix_hash,gate_hash,script_hash,model_hash,architecture_id,group,frame_id,stage,fault_domain,boundary,position,path_or_lane,replica,symbol,component,bit,buffer_address,original_locations,golden,observed_pre_recovery,observed_post_recovery,expected_residual_pre_fault,expected_residual_reference_after_fault,check_outputs_pre_fault,check_outputs_at_decoder,detected,corrected,masked,final_match,sdc,expected_class,pass_fail
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,zero,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""ACCD16B0C62F51A31933A84F2172438851A73B160782471E58E9477F6442451F""","""ACCD16B0C62F51A31933A84F2172438851A73B160782471E58E9477F6442451F""","""ACCD16B0C62F51A31933A84F2172438851A73B160782471E58E9477F6442451F""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,impulse_first,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""18FED49A6E52884120E52337DDA86F7D8D605EB51281BE5442E17E86C22B6317""","""18FED49A6E52884120E52337DDA86F7D8D605EB51281BE5442E17E86C22B6317""","""18FED49A6E52884120E52337DDA86F7D8D605EB51281BE5442E17E86C22B6317""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,impulse_last,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""60080F48725F2C5F9F93FD803D391E4B2F8F15012CDF026343AC21A7F2654992""","""60080F48725F2C5F9F93FD803D391E4B2F8F15012CDF026343AC21A7F2654992""","""60080F48725F2C5F9F93FD803D391E4B2F8F15012CDF026343AC21A7F2654992""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,four_lane_impulse,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""86D59A91E706E342DCFB135AA2DBDB4D652CAFEE3AC0D4A973E898F687731DC1""","""86D59A91E706E342DCFB135AA2DBDB4D652CAFEE3AC0D4A973E898F687731DC1""","""86D59A91E706E342DCFB135AA2DBDB4D652CAFEE3AC0D4A973E898F687731DC1""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,alternating,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""043A8255D23BED9E455334D5F6A8954DB576E69FDE56EED1BB645B94B86489E6""","""043A8255D23BED9E455334D5F6A8954DB576E69FDE56EED1BB645B94B86489E6""","""043A8255D23BED9E455334D5F6A8954DB576E69FDE56EED1BB645B94B86489E6""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,ramp,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""0A2926E04A0FFD1992EBA8B2A8D2EA5DD06E595F8927B39AA72E7087FE9A395A""","""0A2926E04A0FFD1992EBA8B2A8D2EA5DD06E595F8927B39AA72E7087FE9A395A""","""0A2926E04A0FFD1992EBA8B2A8D2EA5DD06E595F8927B39AA72E7087FE9A395A""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,boundary_safe,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""3764FBD9BA738D65D98CB6BFB279823A470372AA34300869776E2696CA04E99E""","""3764FBD9BA738D65D98CB6BFB279823A470372AA34300869776E2696CA04E99E""","""3764FBD9BA738D65D98CB6BFB279823A470372AA34300869776E2696CA04E99E""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,random_seeded,1-10,no_fault,direct_stage10_voter_output_without_terminal_frame_pair_buffer,,,,,,,,,"""FFDC4138B347570325484AD98150E25383A123D8560B039B799D1F834C6EF612""","""FFDC4138B347570325484AD98150E25383A123D8560B039B799D1F834C6EF612""","""FFDC4138B347570325484AD98150E25383A123D8560B039B799D1F834C6EF612""",,,,,0,0,0,1,0,no_fault,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,random_seeded,1,storage,complete_stage_replica_voter_input,0,,0,,real,0,,,"[-1620,298602]","[[-1619,298602],[-1620,298602],[-1620,298602]]","[-1620,298602]",,,,,1,0,1,1,0,single_complete_stage_replica_effect_masked,PASS
FFT1024-SEVEN-ARCH-V3,46F95591006D6841F5B9C3149B7B55F0A4DA7B94CBB3900A08C9042E16314678,9B2255BE547C67B43E3FDE3447C68F112E2B941CDFE2AC078F255C24DC1D93DB,55D535B3E557A86D8131C14E4624D479552A13613A6BB1B33192E90F72080AD6,687F079C078CC5E5BE9DA99B12D722FE823490ECFCE539686806C24F0AFE8A85,76E2F8FEE4576007DA4CC036707842793FED675CD8664A27E9B486AE2B019BC4,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,5EC7821D028287F5688B377E859049A2894C4D6D53795431EC1F99CE084ADCD0,P2,PFFT,random_seeded,1,storage,complete_stage_replica_voter_input,0,,0,,real,1,,,"[-1620,298602]","[[-1618,298602],[-1620,298602],[-1620,298602]]","[-1620,298602]",,,,,1,0,1,1,0,single_complete_stage_replica_effect_masked,PASS
