beat,stage,boundary,res0r,res0i,res1r,res1i
0,1,upper,x,x,x,x
0,1,lower,x,x,x,x
0,2,upper,x,x,x,x
0,2,lower,x,x,x,x
0,3,upper,x,x,x,x
0,3,lower,x,x,x,x
0,4,upper,x,x,x,x
0,4,lower,x,x,x,x
0,5,upper,x,x,x,x
0,5,lower,x,x,x,x
0,6,upper,x,x,x,x
0,6,lower,x,x,x,x
0,7,upper,x,x,x,x
0,7,lower,x,x,x,x
0,8,upper,x,x,x,x
0,8,lower,x,x,x,x
1,1,upper,x,x,x,x
1,1,lower,x,x,x,x
1,2,upper,x,x,x,x
1,2,lower,x,x,x,x
1,3,upper,x,x,x,x
1,3,lower,x,x,x,x
1,4,upper,x,x,x,x
1,4,lower,x,x,x,x
1,5,upper,x,x,x,x
1,5,lower,x,x,x,x
1,6,upper,x,x,x,x
1,6,lower,x,x,x,x
1,7,upper,x,x,x,x
1,7,lower,x,x,x,x
1,8,upper,x,x,x,x
1,8,lower,x,x,x,x
2,1,upper,x,x,x,x
2,1,lower,x,x,x,x
2,2,upper,x,x,x,x
2,2,lower,x,x,x,x
2,3,upper,x,x,x,x
2,3,lower,x,x,x,x
2,4,upper,x,x,x,x
2,4,lower,x,x,x,x
2,5,upper,x,x,x,x
2,5,lower,x,x,x,x
2,6,upper,x,x,x,x
2,6,lower,x,x,x,x
2,7,upper,x,x,x,x
2,7,lower,x,x,x,x
2,8,upper,x,x,x,x
2,8,lower,x,x,x,x
3,1,upper,x,x,x,x
3,1,lower,x,x,x,x
3,2,upper,x,x,x,x
3,2,lower,x,x,x,x
3,3,upper,x,x,x,x
3,3,lower,x,x,x,x
3,4,upper,x,x,x,x
3,4,lower,x,x,x,x
3,5,upper,x,x,x,x
3,5,lower,x,x,x,x
3,6,upper,x,x,x,x
3,6,lower,x,x,x,x
3,7,upper,x,x,x,x
3,7,lower,x,x,x,x
3,8,upper,x,x,x,x
3,8,lower,x,x,x,x
4,1,upper,x,x,x,x
4,1,lower,x,x,x,x
4,2,upper,x,x,x,x
4,2,lower,x,x,x,x
