experiment_id,architecture,scenario,stages,variant_bit,variant_component,per_stage_outcome,expected_class,final_match,pass_fail
SUPP-CONC-V1-001,S3,stage_pair,1+2,0,real,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+2,0,imag,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+2,34,real,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+2,34,imag,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+3,0,real,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+3,0,imag,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+3,34,real,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+3,34,imag,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+4,0,real,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+4,0,imag,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+4,34,real,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+4,34,imag,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+5,0,real,ecc:sym1:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+5,0,imag,ecc:sym1:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+5,34,real,ecc:sym1:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+5,34,imag,ecc:sym1:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+6,0,real,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+6,0,imag,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+6,34,real,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+6,34,imag,ecc:sym1:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+7,0,real,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+7,0,imag,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+7,34,real,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+7,34,imag,ecc:sym1:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+8,0,real,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+8,0,imag,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+8,34,real,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+8,34,imag,ecc:sym1:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+9,0,real,ecc:sym1:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+9,0,imag,ecc:sym1:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+9,34,real,ecc:sym1:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+9,34,imag,ecc:sym1:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+10,0,real,ecc:sym1:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+10,0,imag,ecc:sym1:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+10,34,real,ecc:sym1:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,1+10,34,imag,ecc:sym1:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+3,0,real,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+3,0,imag,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+3,34,real,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+3,34,imag,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+4,0,real,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+4,0,imag,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+4,34,real,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+4,34,imag,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+5,0,real,ecc:sym2:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+5,0,imag,ecc:sym2:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+5,34,real,ecc:sym2:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+5,34,imag,ecc:sym2:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+6,0,real,ecc:sym2:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+6,0,imag,ecc:sym2:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+6,34,real,ecc:sym2:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+6,34,imag,ecc:sym2:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+7,0,real,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+7,0,imag,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+7,34,real,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+7,34,imag,ecc:sym2:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+8,0,real,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+8,0,imag,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+8,34,real,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+8,34,imag,ecc:sym2:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+9,0,real,ecc:sym2:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+9,0,imag,ecc:sym2:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+9,34,real,ecc:sym2:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+9,34,imag,ecc:sym2:ok;tmr:rep0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+10,0,real,ecc:sym2:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+10,0,imag,ecc:sym2:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+10,34,real,ecc:sym2:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,2+10,34,imag,ecc:sym2:ok;tmr:rep1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+4,0,real,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+4,0,imag,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+4,34,real,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+4,34,imag,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+5,0,real,ecc:sym3:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+5,0,imag,ecc:sym3:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+5,34,real,ecc:sym3:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+5,34,imag,ecc:sym3:ok;ecc:sym1:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+6,0,real,ecc:sym3:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+6,0,imag,ecc:sym3:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+6,34,real,ecc:sym3:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+6,34,imag,ecc:sym3:ok;ecc:sym2:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+7,0,real,ecc:sym3:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+7,0,imag,ecc:sym3:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+7,34,real,ecc:sym3:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+7,34,imag,ecc:sym3:ok;ecc:sym3:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+8,0,real,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+8,0,imag,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+8,34,real,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
SUPP-CONC-V1-001,S3,stage_pair,3+8,34,imag,ecc:sym3:ok;ecc:sym0:ok,concurrent_in_model_all_recovered,1,PASS
