experiment_id,category,architecture,object,symbols_or_bits,bit_pattern,component,cross_beat_tag,detected,corrected,functional_match,classification
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,0+0,real,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,0+0,imag,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,0+34,real,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,0+34,imag,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,17+17,real,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,17+17,imag,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,34+34,real,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+1,34+34,imag,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,0+0,real,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,0+0,imag,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,0+34,real,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,0+34,imag,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,17+17,real,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,17+17,imag,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,34+34,real,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+2,34+34,imag,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+3,0+0,real,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+3,0+0,imag,0,1,1,0,miscorrected
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+3,0+34,real,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+3,0+34,imag,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+3,17+17,real,0,1,0,0,detected_uncorrectable
SUPP-NEG-V1-001,ecc_double_symbol,S3,stage1_pos0,0+3,17+17,imag,0,1,1,0,miscorrected
